id	ratio	positive	negetive	num
2010.09.29.	25.0	1	3	4
2010.09.30.	25.0	1	3	4
2010.10.01.	80.0	4	1	5
2010.10.03.	0.0	0	1	1
2010.10.04.	0.0	0	0	0
2010.10.05.	100.0	1	0	1
2010.10.06.	0.0	0	1	1
2010.10.07.	33.33	1	2	3
2010.10.08.	100.0	5	0	5
2010.10.10.	100.0	1	0	1
2010.10.11.	100.0	1	0	1
2010.10.12.	100.0	1	0	1
2010.10.13.	50.0	3	3	6
2010.10.14.	66.67	2	1	3
2010.10.15.	50.0	2	2	4
2010.10.18.	100.0	1	0	1
2010.10.19.	57.14	4	3	7
2010.10.20.	100.0	2	0	2
2010.10.21.	100.0	3	0	3
2010.10.22.	66.67	2	1	3
2010.10.23.	100.0	5	0	5
2010.10.24.	0.0	0	1	1
2010.10.25.	46.15	6	7	13
2010.10.26.	42.86	3	4	7
2010.10.27.	40.0	2	3	5
2010.10.28.	100.0	4	0	4
2010.10.29.	0.0	0	2	2
2010.10.31.	100.0	2	0	2
2010.11.01.	0.0	0	2	2
2010.11.02.	100.0	3	0	3
2010.11.03.	40.0	2	3	5
2010.11.04.	100.0	4	0	4
2010.11.05.	75.0	3	1	4
2010.11.07.	100.0	3	0	3
2010.11.08.	80.0	4	1	5
2010.11.09.	75.0	3	1	4
2010.11.10.	66.67	2	1	3
2010.11.11.	83.33	5	1	6
2010.11.12.	100.0	2	0	2
2010.11.13.	0.0	0	1	1
2010.11.14.	75.0	3	1	4
2010.11.15.	50.0	3	3	6
2010.11.16.	75.0	3	1	4
2010.11.17.	100.0	9	0	9
2010.11.18.	100.0	6	0	6
2010.11.19.	0.0	0	3	3
2010.11.20.	100.0	1	0	1
2010.11.22.	100.0	1	0	1
2010.11.23.	0.0	0	2	2
2010.11.24.	50.0	1	1	2
2010.11.25.	100.0	2	0	2
2010.11.26.	85.71	6	1	7
2010.11.29.	66.67	2	1	3
2010.11.30.	66.67	4	2	6
2010.12.01.	66.67	2	1	3
2010.12.02.	0.0	0	2	2
2010.12.03.	100.0	1	0	1
2010.12.04.	100.0	1	0	1
2010.12.06.	33.33	1	2	3
2010.12.07.	100.0	3	0	3
2010.12.08.	60.0	3	2	5
2010.12.09.	0.0	0	1	1
2010.12.10.	100.0	2	0	2
2010.12.12.	66.67	2	1	3
2010.12.13.	90.0	9	1	10
2010.12.14.	50.0	2	2	4
2010.12.15.	42.86	3	4	7
2010.12.16.	0.0	0	0	0
2010.12.17.	0.0	0	1	1
2010.12.20.	50.0	2	2	4
2010.12.21.	66.67	2	1	3
2010.12.22.	50.0	1	1	2
2010.12.23.	0.0	0	2	2
2010.12.24.	75.0	3	1	4
2010.12.25.	100.0	2	0	2
2010.12.26.	100.0	1	0	1
2010.12.27.	0.0	0	0	0
2010.12.28.	83.33	5	1	6
2010.12.29.	66.67	2	1	3
2010.12.30.	50.0	1	1	2
2010.12.31.	66.67	2	1	3
2011.01.02.	66.67	2	1	3
2011.01.03.	83.33	5	1	6
2011.01.04.	66.67	2	1	3
2011.01.05.	33.33	1	2	3
2011.01.06.	60.0	3	2	5
2011.01.07.	100.0	1	0	1
2011.01.09.	0.0	0	1	1
2011.01.10.	83.33	5	1	6
2011.01.11.	33.33	1	2	3
2011.01.12.	0.0	0	1	1
2011.01.13.	62.5	5	3	8
2011.01.14.	71.43	5	2	7
2011.01.16.	100.0	1	0	1
2011.01.17.	42.86	3	4	7
2011.01.18.	0.0	0	1	1
2011.01.19.	66.67	4	2	6
2011.01.20.	50.0	1	1	2
2011.01.21.	75.0	3	1	4
2011.01.23.	100.0	1	0	1
2011.01.24.	66.67	2	1	3
2011.01.25.	50.0	5	5	10
2011.01.26.	60.0	3	2	5
2011.01.27.	50.0	2	2	4
2011.01.30.	100.0	1	0	1
2011.01.31.	66.67	2	1	3
2011.02.01.	100.0	1	0	1
2011.02.02.	50.0	1	1	2
2011.02.07.	0.0	0	2	2
2011.02.08.	0.0	0	0	0
2011.02.09.	100.0	1	0	1
2011.02.10.	66.67	2	1	3
2011.02.11.	100.0	1	0	1
2011.02.13.	0.0	0	1	1
2011.02.14.	33.33	1	2	3
2011.02.15.	71.43	5	2	7
2011.02.16.	25.0	1	3	4
2011.02.17.	100.0	2	0	2
2011.02.18.	100.0	2	0	2
2011.02.20.	0.0	0	1	1
2011.02.21.	50.0	1	1	2
2011.02.22.	66.67	2	1	3
2011.02.23.	66.67	2	1	3
2011.02.24.	66.67	2	1	3
2011.02.25.	100.0	2	0	2
2011.02.27.	33.33	1	2	3
2011.02.28.	0.0	0	0	0
2011.03.02.	25.0	1	3	4
2011.03.03.	62.5	5	3	8
2011.03.04.	50.0	1	1	2
2011.03.05.	0.0	0	1	1
2011.03.06.	66.67	2	1	3
2011.03.07.	60.0	3	2	5
2011.03.08.	66.67	2	1	3
2011.03.09.	57.14	4	3	7
2011.03.10.	40.0	4	6	10
2011.03.11.	45.45	5	6	11
2011.03.13.	100.0	1	0	1
2011.03.14.	50.0	3	3	6
2011.03.15.	100.0	4	0	4
2011.03.16.	50.0	1	1	2
2011.03.17.	50.0	3	3	6
2011.03.18.	100.0	1	0	1
2011.03.20.	100.0	2	0	2
2011.03.21.	100.0	2	0	2
2011.03.22.	100.0	3	0	3
2011.03.23.	100.0	2	0	2
2011.03.24.	66.67	2	1	3
2011.03.25.	100.0	2	0	2
2011.03.27.	100.0	1	0	1
2011.03.28.	50.0	2	2	4
2011.03.29.	100.0	2	0	2
2011.03.30.	0.0	0	1	1
2011.03.31.	33.33	2	4	6
2011.04.01.	71.43	5	2	7
2011.04.02.	100.0	1	0	1
2011.04.03.	50.0	2	2	4
2011.04.04.	75.0	3	1	4
2011.04.05.	100.0	1	0	1
2011.04.06.	100.0	2	0	2
2011.04.07.	80.0	4	1	5
2011.04.08.	100.0	1	0	1
2011.04.10.	33.33	1	2	3
2011.04.11.	100.0	2	0	2
2011.04.12.	33.33	1	2	3
2011.04.13.	33.33	1	2	3
2011.04.14.	100.0	5	0	5
2011.04.15.	83.33	5	1	6
2011.04.18.	33.33	1	2	3
2011.04.19.	100.0	3	0	3
2011.04.20.	33.33	1	2	3
2011.04.21.	83.33	5	1	6
2011.04.22.	100.0	3	0	3
2011.04.23.	0.0	0	1	1
2011.04.24.	0.0	0	1	1
2011.04.25.	50.0	2	2	4
2011.04.26.	100.0	3	0	3
2011.04.27.	75.0	3	1	4
2011.04.28.	66.67	2	1	3
2011.04.29.	33.33	1	2	3
2011.04.30.	0.0	0	0	0
2011.05.01.	0.0	0	0	0
2011.05.02.	0.0	0	1	1
2011.05.03.	100.0	2	0	2
2011.05.04.	100.0	4	0	4
2011.05.06.	28.57	2	5	7
2011.05.07.	0.0	0	1	1
2011.05.08.	0.0	0	4	4
2011.05.09.	100.0	6	0	6
2011.05.10.	50.0	1	1	2
2011.05.11.	83.33	5	1	6
2011.05.12.	66.67	2	1	3
2011.05.13.	100.0	2	0	2
2011.05.14.	100.0	1	0	1
2011.05.15.	100.0	2	0	2
2011.05.16.	66.67	2	1	3
2011.05.17.	50.0	1	1	2
2011.05.18.	100.0	1	0	1
2011.05.19.	60.0	3	2	5
2011.05.20.	100.0	5	0	5
2011.05.21.	0.0	0	0	0
2011.05.22.	0.0	0	1	1
2011.05.23.	50.0	1	1	2
2011.05.24.	50.0	1	1	2
2011.05.25.	33.33	1	2	3
2011.05.26.	83.33	5	1	6
2011.05.27.	100.0	2	0	2
2011.05.29.	100.0	2	0	2
2011.05.30.	50.0	1	1	2
2011.05.31.	25.0	1	3	4
2011.06.01.	42.86	3	4	7
2011.06.02.	66.67	2	1	3
2011.06.03.	100.0	2	0	2
2011.06.04.	100.0	1	0	1
2011.06.05.	0.0	0	0	0
2011.06.06.	33.33	1	2	3
2011.06.07.	100.0	1	0	1
2011.06.08.	75.0	3	1	4
2011.06.09.	100.0	3	0	3
2011.06.10.	100.0	2	0	2
2011.06.12.	50.0	1	1	2
2011.06.13.	100.0	5	0	5
2011.06.14.	100.0	1	0	1
2011.06.15.	75.0	3	1	4
2011.06.16.	40.0	2	3	5
2011.06.17.	100.0	5	0	5
2011.06.19.	100.0	2	0	2
2011.06.20.	50.0	1	1	2
2011.06.21.	100.0	2	0	2
2011.06.22.	75.0	3	1	4
2011.06.23.	0.0	0	3	3
2011.06.24.	100.0	4	0	4
2011.06.26.	100.0	2	0	2
2011.06.27.	60.0	3	2	5
2011.06.28.	44.44	4	5	9
2011.06.29.	62.5	5	3	8
2011.06.30.	80.0	4	1	5
2011.07.01.	50.0	3	3	6
2011.07.03.	50.0	1	1	2
2011.07.04.	50.0	3	3	6
2011.07.05.	33.33	2	4	6
2011.07.06.	50.0	1	1	2
2011.07.07.	60.0	3	2	5
2011.07.08.	62.5	5	3	8
2011.07.10.	50.0	2	2	4
2011.07.11.	0.0	0	4	4
2011.07.12.	50.0	4	4	8
2011.07.13.	50.0	3	3	6
2011.07.14.	77.78	7	2	9
2011.07.15.	90.91	10	1	11
2011.07.17.	50.0	1	1	2
2011.07.18.	70.0	7	3	10
2011.07.19.	50.0	3	3	6
2011.07.20.	100.0	4	0	4
2011.07.21.	50.0	2	2	4
2011.07.22.	85.71	6	1	7
2011.07.25.	100.0	1	0	1
2011.07.26.	75.0	3	1	4
2011.07.27.	83.33	5	1	6
2011.07.28.	33.33	1	2	3
2011.07.29.	100.0	2	0	2
2011.07.30.	50.0	2	2	4
2011.07.31.	100.0	2	0	2
2011.08.01.	66.67	6	3	9
2011.08.02.	50.0	3	3	6
2011.08.03.	33.33	1	2	3
2011.08.04.	63.64	7	4	11
2011.08.05.	100.0	1	0	1
2011.08.06.	100.0	1	0	1
2011.08.07.	66.67	2	1	3
2011.08.08.	64.29	9	5	14
2011.08.09.	16.67	1	5	6
2011.08.10.	80.0	4	1	5
2011.08.11.	62.5	5	3	8
2011.08.12.	77.78	7	2	9
2011.08.13.	100.0	1	0	1
2011.08.14.	50.0	1	1	2
2011.08.15.	100.0	3	0	3
2011.08.16.	44.44	4	5	9
2011.08.17.	100.0	5	0	5
2011.08.18.	83.33	5	1	6
2011.08.19.	33.33	2	4	6
2011.08.20.	100.0	1	0	1
2011.08.21.	0.0	0	0	0
2011.08.22.	80.0	4	1	5
2011.08.23.	100.0	1	0	1
2011.08.24.	75.0	6	2	8
